-6.928114544400000341e+02 -6.928110877200000459e+02
-6.927786300999999867e+02 -6.927781118699999752e+02
-6.927517641599999934e+02 -6.927512889700000187e+02
-6.927376302899999700e+02 -6.927371676699999625e+02
-6.928179873599999610e+02 -6.928174514400000135e+02
-6.927980739299999868e+02 -6.927977592500000128e+02
-6.927340698599999769e+02 -6.927336737399999720e+02
-6.927973660599999448e+02 -6.927969589000000497e+02
-6.927962328700000398e+02 -6.927956944600000497e+02
-6.928040038999999979e+02 -6.928035608200000297e+02
